bloco;chave;prazo_dias;valor;unidade
custo_anual_desagio_flat;0.0100;30;0.130069;a.a.
custo_anual_desagio_flat;0.0100;45;0.084934;a.a.
custo_anual_desagio_flat;0.0100;60;0.063047;a.a.
custo_anual_desagio_flat;0.0100;90;0.041602;a.a.
custo_anual_desagio_flat;0.0150;30;0.201875;a.a.
custo_anual_desagio_flat;0.0150;45;0.130419;a.a.
custo_anual_desagio_flat;0.0150;60;0.096300;a.a.
custo_anual_desagio_flat;0.0150;90;0.063212;a.a.
custo_anual_desagio_flat;0.0200;30;0.278643;a.a.
custo_anual_desagio_flat;0.0200;45;0.178057;a.a.
custo_anual_desagio_flat;0.0200;60;0.130771;a.a.
custo_anual_desagio_flat;0.0200;90;0.085383;a.a.
custo_anual_desagio_flat;0.0250;30;0.360746;a.a.
custo_anual_desagio_flat;0.0250;45;0.227962;a.a.
custo_anual_desagio_flat;0.0250;60;0.166510;a.a.
custo_anual_desagio_flat;0.0250;90;0.108134;a.a.
custo_anual_desagio_flat;0.0300;30;0.448585;a.a.
custo_anual_desagio_flat;0.0300;45;0.280253;a.a.
custo_anual_desagio_flat;0.0300;60;0.203572;a.a.
custo_anual_desagio_flat;0.0300;90;0.131483;a.a.
custo_anual_desagio_flat;0.0400;30;0.643236;a.a.
custo_anual_desagio_flat;0.0400;45;0.392515;a.a.
custo_anual_desagio_flat;0.0400;60;0.281888;a.a.
custo_anual_desagio_flat;0.0400;90;0.180049;a.a.
custo_anual_desagio_flat;0.0500;30;0.866506;a.a.
custo_anual_desagio_flat;0.0500;45;0.515955;a.a.
custo_anual_desagio_flat;0.0500;60;0.366201;a.a.
custo_anual_desagio_flat;0.0500;90;0.231241;a.a.
custo_anual_taxa_mensal_pro_rata;0.0150;30;0.201875;a.a.
custo_anual_taxa_mensal_pro_rata;0.0150;45;0.202719;a.a.
custo_anual_taxa_mensal_pro_rata;0.0150;60;0.203572;a.a.
custo_anual_taxa_mensal_pro_rata;0.0150;90;0.205306;a.a.
custo_anual_taxa_mensal_pro_rata;0.0200;30;0.278643;a.a.
custo_anual_taxa_mensal_pro_rata;0.0200;45;0.280253;a.a.
custo_anual_taxa_mensal_pro_rata;0.0200;60;0.281888;a.a.
custo_anual_taxa_mensal_pro_rata;0.0200;90;0.285232;a.a.
custo_anual_taxa_mensal_pro_rata;0.0250;30;0.360746;a.a.
custo_anual_taxa_mensal_pro_rata;0.0250;45;0.363448;a.a.
custo_anual_taxa_mensal_pro_rata;0.0250;60;0.366201;a.a.
custo_anual_taxa_mensal_pro_rata;0.0250;90;0.371874;a.a.
custo_anual_taxa_mensal_pro_rata;0.0300;30;0.448585;a.a.
custo_anual_taxa_mensal_pro_rata;0.0300;45;0.452763;a.a.
custo_anual_taxa_mensal_pro_rata;0.0300;60;0.457043;a.a.
custo_anual_taxa_mensal_pro_rata;0.0300;90;0.465919;a.a.
custo_anual_taxa_mensal_pro_rata;0.0400;30;0.643236;a.a.
custo_anual_taxa_mensal_pro_rata;0.0400;45;0.651821;a.a.
custo_anual_taxa_mensal_pro_rata;0.0400;60;0.660698;a.a.
custo_anual_taxa_mensal_pro_rata;0.0400;90;0.679398;a.a.
custo_anual_taxa_mensal_pro_rata;0.0500;30;0.866506;a.a.
custo_anual_taxa_mensal_pro_rata;0.0500;45;0.882037;a.a.
custo_anual_taxa_mensal_pro_rata;0.0500;60;0.898270;a.a.
custo_anual_taxa_mensal_pro_rata;0.0500;90;0.933061;a.a.
desagio_neutro_vs_cdi_liquido;;30;0.008374;deságio
rotativo_2pct_mes__saldo_devedor;;30;30800.000000;R$
rotativo_2pct_mes__desagio_mes;;30;616.000000;R$
rotativo_2pct_mes__desagio_ano;;30;7392.000000;R$
rotativo_2pct_mes__taxa_ano;;30;0.268242;a.a.
rotativo_2pct_mes__minutos_gratis_plantao;;30;14.400000;min
rotativo_2pct_mes__plantoes_gratis_ano;;30;3.360000;plantões
desagio_neutro_vs_cdi_liquido;;45;0.012534;deságio
rotativo_2pct_mes__saldo_devedor;;45;46200.000000;R$
rotativo_2pct_mes__desagio_mes;;45;924.000000;R$
rotativo_2pct_mes__desagio_ano;;45;11088.000000;R$
rotativo_2pct_mes__taxa_ano;;45;0.268242;a.a.
rotativo_2pct_mes__minutos_gratis_plantao;;45;21.600000;min
rotativo_2pct_mes__plantoes_gratis_ano;;45;5.040000;plantões
desagio_neutro_vs_cdi_liquido;;60;0.016677;deságio
rotativo_2pct_mes__saldo_devedor;;60;61600.000000;R$
rotativo_2pct_mes__desagio_mes;;60;1232.000000;R$
rotativo_2pct_mes__desagio_ano;;60;14784.000000;R$
rotativo_2pct_mes__taxa_ano;;60;0.268242;a.a.
rotativo_2pct_mes__minutos_gratis_plantao;;60;28.800000;min
rotativo_2pct_mes__plantoes_gratis_ano;;60;6.720000;plantões
desagio_neutro_vs_cdi_liquido;;90;0.024911;deságio
rotativo_2pct_mes__saldo_devedor;;90;92400.000000;R$
rotativo_2pct_mes__desagio_mes;;90;1848.000000;R$
rotativo_2pct_mes__desagio_ano;;90;22176.000000;R$
rotativo_2pct_mes__taxa_ano;;90;0.268242;a.a.
rotativo_2pct_mes__minutos_gratis_plantao;;90;43.200000;min
rotativo_2pct_mes__plantoes_gratis_ano;;90;10.080000;plantões
quitacao_meses;esforco_900;45;;meses
quitacao_meses;esforco_1000;45;130.1354;meses
quitacao_meses;esforco_1100;45;92.5423;meses
quitacao_meses;esforco_1200;45;74.2162;meses
quitacao_meses;esforco_1500;45;48.3326;meses
quitacao_meses;esforco_2000;45;31.3038;meses
quitacao_meses;esforco_2500;45;23.3000;meses
quitacao_meses;esforco_3200;45;17.2064;meses
quitacao_meses;esforco_4000;45;13.2641;meses
quitacao_meses;esforco_5000;45;10.3179;meses
oportunidade_desagio;5a;45;64204.87;R$ reais
oportunidade_total;5a;45;91691.43;R$ reais
oportunidade_desagio;10a;45;150125.46;R$ reais
oportunidade_total;10a;45;214395.25;R$ reais
oportunidade_desagio;20a;45;418977.30;R$ reais
oportunidade_total;20a;45;598344.50;R$ reais
oportunidade_desagio;30a;45;900449.99;R$ reais
oportunidade_total;30a;45;1285939.12;R$ reais
bcb_jun2026;credito_livre_total;;0.4980;a.a.
bcb_jun2026;credito_livre_pf;;0.6400;a.a.
bcb_jun2026;credito_livre_pj;;0.2440;a.a.
bcb_jun2026;cheque_especial_pf;;1.3980;a.a.
bcb_jun2026;credito_pessoal_nao_consignado;;1.2730;a.a.
bcb_jun2026;credito_pessoal_consignado;;0.2830;a.a.
bcb_jun2026;aquisicao_veiculos;;0.2640;a.a.
premissa;selic_meta;;0.140000;
premissa;cdi;;0.139000;
premissa;cdi_liq_22_5;;0.107725;
premissa;ipca_12m;;0.046400;
premissa;renda_mes;;30800.000000;
premissa;valor_hora;;183.333333;
