APÊNDICE · MAS E CARTA CONTEMPLADA? · BASE DE DADOS
Fonte: lista pública de corretora especializada (vencimentos set-out/2026) e dois anúncios de rede social. Administradoras e corretora anonimizadas.
"Premissas: IPCA 4,44%; INCC-M 12m 6,40%; financiamento 11,50% a.a. + TR 2,05% a.a. (custo real 8,95%); empate = custo real da carta igual ao do financiamento; reajuste base IPCA+0,09 p.p.; primeiro reajuste no mês 13; taxa de transferência e seguros não incluídos."

ID;Fonte;Administradora;Reservada;Crédito (R$);Entrada/ágio (R$);Ágio % carta;Crédito líquido (R$);Nº parcelas;Estrutura das parcelas (R$);Total nominal sem reajuste (R$);Reajuste de empate (acima do IPCA);Custo real a.a. – reajuste IPCA+0,09;Custo real a.a. – INCC 6,40%;Ágio de empate – IPCA+0,09 (R$);Ágio de empate – INCC (R$);Sobrepreço vs financiamento – IPCA+0,09 (R$);Sobrepreço vs financiamento – INCC (R$);Nota
1;Lista de corretora;Administradora A;não;49.000;20.900;42,7%;28.100;196;196x 266;52.136;0,48 p.p.;8,6%;10,3%;21.534;18.440;-634;2.460;
2;Lista de corretora;Administradora A;não;51.700;24.270;46,9%;27.430;187;187x 270;50.490;0,19 p.p.;8,8%;10,6%;24.431;21.483;-161;2.787;
3;Lista de corretora;Administradora C;não;64.500;29.000;45,0%;35.500;137;137x 436;59.732;-1,03 p.p.;10,0%;11,8%;27.250;24.228;1.750;4.772;
4;Lista de corretora;Administradora C;não;65.100;27.500;42,2%;37.600;159;159x 432;68.688;-1,26 p.p.;10,3%;12,1%;24.942;21.193;2.558;6.307;
5;Lista de corretora;Administradora A;não;70.500;31.880;45,2%;38.620;225;225x 389;87.525;-1,47 p.p.;10,5%;12,4%;27.850;22.455;4.030;9.425;
6;Lista de corretora;Administradora A;não;74.000;32.900;44,5%;41.100;177;177x 404;71.508;0,72 p.p.;8,3%;10,1%;34.285;30.197;-1.385;2.703;
7;Lista de corretora;Administradora F;não;74.900;35.390;47,2%;39.510;179;179x 484;86.636;-3,58 p.p.;12,7%;14,5%;27.057;22.086;8.333;13.304;
8;Lista de corretora;Administradora A;não;75.500;33.900;44,9%;41.600;177;177x 408;72.216;0,76 p.p.;8,3%;10,0%;35.392;31.264;-1.492;2.636;
9;Lista de corretora;Administradora B;não;80.000;34.000;42,5%;46.000;229;229x 387;88.623;1,19 p.p.;7,8%;9,6%;37.269;31.787;-3.269;2.213;
10;Lista de corretora;Administradora A;não;80.500;32.000;39,8%;48.500;165;165x 532;87.780;-0,69 p.p.;9,7%;11,5%;30.058;25.186;1.942;6.814;
11;Lista de corretora;Administradora B;não;85.200;34.000;39,9%;51.200;226;226x 414;93.564;1,86 p.p.;7,2%;9,0%;39.728;33.956;-5.728;44;
12;Lista de corretora;Administradora B;não;85.600;34.500;40,3%;51.100;225;225x 414;93.150;1,87 p.p.;7,2%;9,0%;40.209;34.467;-5.709;33;
13;Lista de corretora;Administradora K;não;91.450;39.170;42,8%;52.280;141;141x 641;90.381;-1,36 p.p.;10,4%;12,1%;35.755;31.112;3.415;8.058;
14;Lista de corretora;Administradora D;não;92.790;41.550;44,8%;51.240;193;193x 467;90.131;1,25 p.p.;7,8%;9,6%;44.918;39.602;-3.368;1.948;
15;Lista de corretora;Administradora A;não;99.000;56.800;57,4%;42.200;71;71x 742;52.682;2,13 p.p.;7,2%;8,7%;58.677;57.040;-1.877;-240;
16;Lista de corretora;Administradora B;não;101.700;38.900;38,2%;62.800;225;225x 529;119.025;1,29 p.p.;7,7%;9,5%;43.701;36.364;-4.801;2.536;
17;Lista de corretora;Administradora B;não;102.600;39.500;38,5%;63.100;225;225x 528;118.800;1,39 p.p.;7,6%;9,4%;44.710;37.387;-5.210;2.113;
18;Lista de corretora;Administradora L;não;102.700;36.000;35,1%;66.700;179;179x 686;122.794;-0,21 p.p.;9,3%;11,0%;34.890;27.843;1.110;8.157;
19;Lista de corretora;Administradora G;não;103.600;36.500;35,2%;67.100;231;231x 550;127.050;1,51 p.p.;7,5%;9,3%;42.657;34.781;-6.157;1.719;
20;Lista de corretora;Administradora A;não;105.000;68.735;65,5%;36.265;52;52x 852;44.304;0,35 p.p.;8,7%;10,2%;68.884;67.861;-149;874;
21;Lista de corretora;Administradora A;não;106.000;41.000;38,7%;65.000;176;176x 710;124.960;-1,20 p.p.;10,2%;12,0%;36.401;29.272;4.599;11.728;
22;Lista de corretora;Administradora B;não;107.000;37.500;35,0%;69.500;131;131x 876;114.756;-1,05 p.p.;10,1%;11,8%;34.157;28.507;3.343;8.993;
23;Lista de corretora;Administradora I;não;108.900;40.000;36,7%;68.900;196;196x 637;124.852;0,88 p.p.;8,2%;9,9%;43.125;35.717;-3.125;4.283;
24;Lista de corretora;Administradora G;não;109.400;32.000;29,3%;77.400;194;194x 713;138.322;1,03 p.p.;8,0%;9,8%;36.131;27.955;-4.131;4.045;
25;Lista de corretora;Administradora F;não;109.500;41.200;37,6%;68.300;159;159x 765;121.635;-0,74 p.p.;9,8%;11,5%;38.387;31.748;2.813;9.452;
26;Lista de corretora;Administradora E;não;110.700;25.500;23,0%;85.200;94;94x 1.625;152.750;não empata;17,2%;18,9%;2.055;-3.959;23.445;29.459;
27;Lista de corretora;Administradora E;não;110.700;25.500;23,0%;85.200;94;94x 1.625;152.750;não empata;17,2%;18,9%;2.055;-3.959;23.445;29.459;
28;Lista de corretora;Administradora A;não;111.000;49.900;45,0%;61.100;177;177x 599;106.023;0,77 p.p.;8,3%;10,0%;52.116;46.055;-2.216;3.845;
29;Lista de corretora;Administradora A;não;111.000;43.500;39,2%;67.500;172;172x 735;126.420;-0,94 p.p.;10,0%;11,8%;39.787;32.642;3.713;10.858;
30;Lista de corretora;Administradora H;não;112.100;47.750;42,6%;64.350;218;218x 576;125.568;0,59 p.p.;8,4%;10,2%;49.769;42.089;-2.019;5.661;
31;Lista de corretora;Administradora F;não;117.200;51.400;43,9%;65.800;114;114x 913;104.082;-1,46 p.p.;10,4%;12,2%;47.620;42.911;3.780;8.489;
32;Lista de corretora;Administradora B;não;117.500;45.000;38,3%;72.500;231;231x 634;146.454;0,56 p.p.;8,5%;10,3%;47.250;38.170;-2.250;6.830;
33;Lista de corretora;Administradora A;não;119.900;85.595;71,4%;34.305;77;77x 845;65.065;não empata;23,9%;25,7%;71.034;68.849;14.561;16.746;
34;Lista de corretora;Administradora L;não;120.000;43.000;35,8%;77.000;225;225x 658;148.050;1,08 p.p.;8,0%;9,7%;47.857;38.731;-4.857;4.269;
35;Lista de corretora;Administradora A;não;120.000;82.200;68,5%;37.800;79;79x 793;62.647;não empata;17,2%;18,9%;73.252;71.102;8.948;11.098;
36;Lista de corretora;Administradora B;não;120.000;49.000;40,8%;71.000;237;237x 588;139.356;1,20 p.p.;7,8%;9,6%;54.190;45.507;-5.190;3.493;
37;Lista de corretora;Administradora C;não;120.300;54.150;45,0%;66.150;129;129x 868;111.972;-1,84 p.p.;10,8%;12,6%;48.786;43.317;5.364;10.833;
38;Lista de corretora;Administradora A;não;124.000;73.380;59,2%;50.620;73;73x 957;69.861;-2,03 p.p.;10,8%;12,5%;70.874;68.647;2.506;4.733;
39;Lista de corretora;Administradora A;não;127.000;58.220;45,8%;68.780;153;153x 813;124.389;-1,47 p.p.;10,5%;12,3%;53.001;46.336;5.219;11.884;
