cenario;mes;ano;plantoes_semana;renda_mensal_real;custo_vida_real;aporte_real;juro_real_mes;patrimonio_real_fim_mes;renda_carteira_6pct;renda_carteira_4pct
o_plano;1;1;5;43700.0;23700.0;20000.0;0.0;20000.0;100.0;66.67
o_plano;2;1;5;43700.0;23700.0;20000.0;97.35;40097.35;200.49;133.66
o_plano;3;1;5;43700.0;23700.0;20000.0;195.18;60292.53;301.46;200.98
o_plano;4;1;5;43700.0;23700.0;20000.0;293.48;80586.0;402.93;268.62
o_plano;5;1;5;43700.0;23700.0;20000.0;392.26;100978.26;504.89;336.59
o_plano;6;1;5;43700.0;23700.0;20000.0;491.52;121469.78;607.35;404.9
o_plano;7;1;5;43700.0;23700.0;20000.0;591.26;142061.04;710.31;473.54
o_plano;8;1;5;43700.0;23700.0;20000.0;691.49;162752.53;813.76;542.51
o_plano;9;1;5;43700.0;23700.0;20000.0;792.21;183544.73;917.72;611.82
o_plano;10;1;5;43700.0;23700.0;20000.0;893.41;204438.15;1022.19;681.46
o_plano;11;1;5;43700.0;23700.0;20000.0;995.11;225433.26;1127.17;751.44
o_plano;12;1;5;43700.0;23700.0;20000.0;1097.31;246530.57;1232.65;821.77
o_plano;13;2;5;43700.0;23700.0;20000.0;1200.0;267730.57;1338.65;892.44
o_plano;14;2;5;43700.0;23700.0;20000.0;1303.19;289033.76;1445.17;963.45
o_plano;15;2;5;43700.0;23700.0;20000.0;1406.89;310440.65;1552.2;1034.8
o_plano;16;2;5;43700.0;23700.0;20000.0;1511.09;331951.73;1659.76;1106.51
o_plano;17;2;5;43700.0;23700.0;20000.0;1615.79;353567.52;1767.84;1178.56
o_plano;18;2;5;43700.0;23700.0;20000.0;1721.01;375288.53;1876.44;1250.96
o_plano;19;2;5;43700.0;23700.0;20000.0;1826.74;397115.27;1985.58;1323.72
o_plano;20;2;5;43700.0;23700.0;20000.0;1932.98;419048.25;2095.24;1396.83
o_plano;21;2;5;43700.0;23700.0;20000.0;2039.74;441087.98;2205.44;1470.29
o_plano;22;2;5;43700.0;23700.0;20000.0;2147.02;463235.0;2316.18;1544.12
o_plano;23;2;5;43700.0;23700.0;20000.0;2254.82;485489.82;2427.45;1618.3
o_plano;24;2;5;43700.0;23700.0;20000.0;2363.15;507852.97;2539.26;1692.84
o_plano;25;3;5;43700.0;23700.0;20000.0;2472.0;530324.97;2651.62;1767.75
o_plano;26;3;5;43700.0;23700.0;20000.0;2581.38;552906.35;2764.53;1843.02
o_plano;27;3;5;43700.0;23700.0;20000.0;2691.3;575597.65;2877.99;1918.66
o_plano;28;3;5;43700.0;23700.0;20000.0;2801.75;598399.4;2992.0;1994.66
o_plano;29;3;5;43700.0;23700.0;20000.0;2912.74;621312.14;3106.56;2071.04
o_plano;30;3;5;43700.0;23700.0;20000.0;3024.27;644336.41;3221.68;2147.79
o_plano;31;3;5;43700.0;23700.0;20000.0;3136.34;667472.75;3337.36;2224.91
o_plano;32;3;5;43700.0;23700.0;20000.0;3248.96;690721.71;3453.61;2302.41
o_plano;33;3;5;43700.0;23700.0;20000.0;3362.12;714083.83;3570.42;2380.28
o_plano;34;3;5;43700.0;23700.0;20000.0;3475.84;737559.67;3687.8;2458.53
o_plano;35;3;5;43700.0;23700.0;20000.0;3590.11;761149.78;3805.75;2537.17
o_plano;36;3;5;43700.0;23700.0;20000.0;3704.94;784854.71;3924.27;2616.18
o_plano;37;4;5;43700.0;23700.0;20000.0;3820.32;808675.03;4043.38;2695.58
o_plano;38;4;5;43700.0;23700.0;20000.0;3936.27;832611.3;4163.06;2775.37
o_plano;39;4;5;43700.0;23700.0;20000.0;4052.78;856664.08;4283.32;2855.55
o_plano;40;4;5;43700.0;23700.0;20000.0;4169.86;880833.93;4404.17;2936.11
o_plano;41;4;5;43700.0;23700.0;20000.0;4287.5;905121.44;4525.61;3017.07
o_plano;42;4;5;43700.0;23700.0;20000.0;4405.72;929527.16;4647.64;3098.42
o_plano;43;4;5;43700.0;23700.0;20000.0;4524.52;954051.68;4770.26;3180.17
o_plano;44;4;5;43700.0;23700.0;20000.0;4643.89;978695.58;4893.48;3262.32
o_plano;45;4;5;43700.0;23700.0;20000.0;4763.85;1003459.43;5017.3;3344.86
o_plano;46;4;5;43700.0;23700.0;20000.0;4884.39;1028343.82;5141.72;3427.81
o_plano;47;4;5;43700.0;23700.0;20000.0;5005.52;1053349.33;5266.75;3511.16
o_plano;48;4;5;43700.0;23700.0;20000.0;5127.23;1078476.56;5392.38;3594.92
o_plano;49;5;5;43700.0;23700.0;20000.0;5249.54;1103726.1;5518.63;3679.09
o_plano;50;5;5;43700.0;23700.0;20000.0;5372.44;1129098.54;5645.49;3763.66
o_plano;51;5;5;43700.0;23700.0;20000.0;5495.94;1154594.49;5772.97;3848.65
o_plano;52;5;5;43700.0;23700.0;20000.0;5620.05;1180214.54;5901.07;3934.05
o_plano;53;5;5;43700.0;23700.0;20000.0;5744.75;1205959.29;6029.8;4019.86
o_plano;54;5;5;43700.0;23700.0;20000.0;5870.07;1231829.36;6159.15;4106.1
o_plano;55;5;5;43700.0;23700.0;20000.0;5995.99;1257825.35;6289.13;4192.75
o_plano;56;5;5;43700.0;23700.0;20000.0;6122.53;1283947.88;6419.74;4279.83
o_plano;57;5;5;43700.0;23700.0;20000.0;6249.68;1310197.56;6550.99;4367.33
o_plano;58;5;5;43700.0;23700.0;20000.0;6377.45;1336575.01;6682.88;4455.25
o_plano;59;5;5;43700.0;23700.0;20000.0;6505.85;1363080.86;6815.4;4543.6
o_plano;60;5;5;43700.0;23700.0;20000.0;6634.86;1389715.72;6948.58;4632.39
o_plano;61;6;5;43700.0;23700.0;20000.0;6764.51;1416480.23;7082.4;4721.6
o_plano;62;6;5;43700.0;23700.0;20000.0;6894.79;1443375.02;7216.88;4811.25
o_plano;63;6;5;43700.0;23700.0;20000.0;7025.7;1470400.72;7352.0;4901.34
o_plano;64;6;5;43700.0;23700.0;20000.0;7157.25;1497557.97;7487.79;4991.86
o_plano;65;6;5;43700.0;23700.0;20000.0;7289.44;1524847.41;7624.24;5082.82
o_plano;66;6;5;43700.0;23700.0;20000.0;7422.27;1552269.69;7761.35;5174.23
o_plano;67;6;5;43700.0;23700.0;20000.0;7555.75;1579825.44;7899.13;5266.08
o_plano;68;6;5;43700.0;23700.0;20000.0;7689.88;1607515.32;8037.58;5358.38
o_plano;69;6;5;43700.0;23700.0;20000.0;7824.66;1635339.98;8176.7;5451.13
o_plano;70;6;5;43700.0;23700.0;20000.0;7960.1;1663300.08;8316.5;5544.33
o_plano;71;6;5;43700.0;23700.0;20000.0;8096.2;1691396.28;8456.98;5637.99
o_plano;72;6;5;43700.0;23700.0;20000.0;8232.96;1719629.23;8598.15;5732.1
o_plano;73;7;5;43700.0;23700.0;20000.0;8370.38;1747999.62;8740.0;5826.67
o_plano;74;7;5;43700.0;23700.0;20000.0;8508.48;1776508.09;8882.54;5921.69
o_plano;75;7;5;43700.0;23700.0;20000.0;8647.24;1805155.33;9025.78;6017.18
