bloco;chave;detalhe;valor;unidade
cotacao_anunciada;Cotação 1;debito;0.008800;pct
cotacao_anunciada;Cotação 1;avista;0.032000;pct
cotacao_anunciada;Cotação 1;6x;0.078000;pct
cotacao_anunciada;Cotação 1;12x;0.125900;pct
cotacao_anunciada;Cotação 1;tarifa_fixa;0.000000;BRL
cotacao_anunciada;Cotação 1;liquidacao_credito_dias;1.000000;dias
custo_efetivo;Cotação 1;1x;0.032000;pct
custo_efetivo;Cotação 1;6x;0.078000;pct
custo_efetivo;Cotação 1;12x;0.125900;pct
cotacao_anunciada;Cotação 2;debito;0.015700;pct
cotacao_anunciada;Cotação 2;avista;0.026900;pct
cotacao_anunciada;Cotação 2;6x;0.032500;pct
cotacao_anunciada;Cotação 2;12x;0.037900;pct
cotacao_anunciada;Cotação 2;tarifa_fixa;0.000000;BRL
cotacao_anunciada;Cotação 2;liquidacao_credito_dias;30.000000;dias
custo_efetivo;Cotação 2;1x;0.035389;pct
custo_efetivo;Cotação 2;6x;0.061899;pct
custo_efetivo;Cotação 2;12x;0.091809;pct
cotacao_anunciada;Cotação 3;avista;0.029900;pct
cotacao_anunciada;Cotação 3;6x;0.032700;pct
cotacao_anunciada;Cotação 3;12x;0.036300;pct
cotacao_anunciada;Cotação 3;tarifa_fixa;0.290000;BRL
cotacao_anunciada;Cotação 3;liquidacao_credito_dias;32.000000;dias
custo_efetivo;Cotação 3;1x;0.039920;pct
custo_efetivo;Cotação 3;6x;0.063617;pct
custo_efetivo;Cotação 3;12x;0.091714;pct
cotacao_anunciada;Cotação 4;debito;0.009200;pct
cotacao_anunciada;Cotação 4;avista;0.030500;pct
cotacao_anunciada;Cotação 4;6x;0.070800;pct
cotacao_anunciada;Cotação 4;12x;0.114000;pct
cotacao_anunciada;Cotação 4;tarifa_fixa;0.350000;BRL
cotacao_anunciada;Cotação 4;liquidacao_credito_dias;14.000000;dias
custo_efetivo;Cotação 4;1x;0.031667;pct
custo_efetivo;Cotação 4;6x;0.071967;pct
custo_efetivo;Cotação 4;12x;0.115167;pct
cotacao_anunciada;Cotação 5;avista;0.017100;pct
cotacao_anunciada;Cotação 5;6x;0.024800;pct
cotacao_anunciada;Cotação 5;12x;0.029800;pct
cotacao_anunciada;Cotação 5;tarifa_fixa;0.490000;BRL
cotacao_anunciada;Cotação 5;liquidacao_credito_dias;32.000000;dias
custo_efetivo;Cotação 5;1x;0.027786;pct
custo_efetivo;Cotação 5;6x;0.056384;pct
custo_efetivo;Cotação 5;12x;0.085880;pct
cotacao_anunciada;Cotação 6;debito;0.007400;pct
cotacao_anunciada;Cotação 6;avista;0.010500;pct
cotacao_anunciada;Cotação 6;6x;0.014000;pct
cotacao_anunciada;Cotação 6;12x;0.015000;pct
cotacao_anunciada;Cotação 6;tarifa_fixa;0.000000;BRL
cotacao_anunciada;Cotação 6;liquidacao_credito_dias;30.000000;dias
custo_efetivo;Cotação 6;1x;0.025400;pct
custo_efetivo;Cotação 6;6x;0.066150;pct
custo_efetivo;Cotação 6;12x;0.111850;pct
custo_efetivo;Cotação 6;12x_sem_antecipar;0.068909;pct
cotacao_anunciada;InfinitePay · faixa até R$20 mil/mês;debito;0.013700;pct
cotacao_anunciada;InfinitePay · faixa até R$20 mil/mês;avista;0.031500;pct
cotacao_anunciada;InfinitePay · faixa até R$20 mil/mês;6x;0.124000;pct
cotacao_anunciada;InfinitePay · faixa até R$20 mil/mês;12x;0.124000;pct
cotacao_anunciada;InfinitePay · faixa até R$20 mil/mês;tarifa_fixa;0.000000;BRL
cotacao_anunciada;InfinitePay · faixa até R$20 mil/mês;liquidacao_credito_dias;1.000000;dias
custo_efetivo;InfinitePay · faixa até R$20 mil/mês;1x;0.031500;pct
custo_efetivo;InfinitePay · faixa até R$20 mil/mês;6x;0.124000;pct
custo_efetivo;InfinitePay · faixa até R$20 mil/mês;12x;0.124000;pct
cotacao_anunciada;InfinitePay · faixa R$20–80 mil/mês;debito;0.007900;pct
cotacao_anunciada;InfinitePay · faixa R$20–80 mil/mês;avista;0.027900;pct
cotacao_anunciada;InfinitePay · faixa R$20–80 mil/mês;6x;0.095600;pct
cotacao_anunciada;InfinitePay · faixa R$20–80 mil/mês;12x;0.095600;pct
cotacao_anunciada;InfinitePay · faixa R$20–80 mil/mês;tarifa_fixa;0.000000;BRL
cotacao_anunciada;InfinitePay · faixa R$20–80 mil/mês;liquidacao_credito_dias;1.000000;dias
custo_efetivo;InfinitePay · faixa R$20–80 mil/mês;1x;0.027900;pct
custo_efetivo;InfinitePay · faixa R$20–80 mil/mês;6x;0.095600;pct
custo_efetivo;InfinitePay · faixa R$20–80 mil/mês;12x;0.095600;pct
cotacao_anunciada;InfinitePay · faixa acima de R$80 mil/mês;debito;0.007500;pct
cotacao_anunciada;InfinitePay · faixa acima de R$80 mil/mês;avista;0.026900;pct
cotacao_anunciada;InfinitePay · faixa acima de R$80 mil/mês;6x;0.089900;pct
cotacao_anunciada;InfinitePay · faixa acima de R$80 mil/mês;12x;0.089900;pct
